question;answer_1;answer_2;answer_3;answer_4
Quel langage de programmation est principalement utilisé pour le développement web côté serveur ?;PHP;JavaScript;Java;Python
Qui est le créateur du langage de programmation Python ?;Guido van Rossum;Linus Torvalds;Larry Page;Mark Zuckerberg
Quel système d'exploitation est basé sur le noyau Linux ?;Ubuntu;Windows;macOS;Android
Quel langage est souvent utilisé pour créer des scripts côté client dans les navigateurs web ?;JavaScript;PHP;Java;Python
Quel langage de programmation est souvent utilisé pour le développement d'applications Android ?;Java;JavaScript;Python;PHP
Quel langage de programmation est souvent utilisé pour les applications de bureau et les jeux ?;C++;Python;JavaScript;PHP
Quel est le rôle de Linus Torvalds dans le développement de Linux ?;Créateur du noyau Linux;Créateur du navigateur web Linux;Créateur du langage Linux;Créateur du système de gestion de base de données Linux
Quel langage de programmation est souvent utilisé pour les tâches de traitement de données et l'intelligence artificielle ?;Python;JavaScript;Java;PHP
Quelle société a développé le langage de programmation Java ?;Sun Microsystems;Oracle;IBM;Microsoft
Quel langage de programmation est utilisé pour le développement de sites web interactifs et dynamiques ?;JavaScript;PHP;Java;Python
Quel langage de programmation est souvent utilisé pour le développement d'applications de bureau ?;Java;Python;JavaScript;C++
Qu'est-ce que PHP signifie ?;Hypertext Preprocessor;Personal Home Page;Programming Hypertext Pages;Python Hypertext Processor
Quel langage de programmation est souvent utilisé pour les calculs scientifiques et l'apprentissage automatique ?;Python;Java;JavaScript;PHP
Quel est le protocole utilisé pour sécuriser les communications sur le web ?;HTTPS;HTTP;FTP;TCP
Quel langage de programmation a été créé en 1995 par Brendan Eich ?;JavaScript;Java;Python;PHP
Quelle est la fonction principale d'un système de gestion de base de données (SGBD) ?;Stockage et gestion des données;Contrôle du navigateur web;Génération de code HTML;Affichage des publicités
Quel langage de programmation est souvent utilisé pour la manipulation des feuilles de style (CSS) ?;JavaScript;Python;PHP;None of the above
Quel est le créateur du langage de programmation Java ?;James Gosling;Bjarne Stroustrup;Guido van Rossum;Rasmus Lerdorf
Quel système d'exploitation est principalement utilisé pour les serveurs web ?;Linux;Windows;macOS;Android
Quel langage de programmation est basé sur le langage C et utilisé pour le développement du noyau Linux ?;C;Python;Java;JavaScript
Quelle balise HTML est utilisée pour lier un fichier CSS externe ?;<link>; <css>; <style>; <script>
Quel langage de programmation est souvent utilisé pour la création de sites web dynamiques en conjonction avec HTML et CSS ?;JavaScript;Python;Java;PHP
Quel est le rôle principal du W3C (World Wide Web Consortium) ?;Définir des standards pour le web;Gérer les noms de domaine;Développer des applications mobiles;Produire des navigateurs web
Quel langage de programmation est souvent utilisé pour les applications mobiles iOS ?;Swift;Java;Python;C++
Quel est le nom du premier navigateur web développé par Tim Berners-Lee ?;WorldWideWeb;Web Explorer;NetSurfer;BrowseIt
Quel est le langage de script utilisé pour extraire des données des pages web ?;Python;JavaScript;PHP;HTML
Quel est le gestionnaire de paquets utilisé par défaut sur les distributions Linux Ubuntu ?;apt;dnf;yum;brew
Quel langage de programmation a été initialement conçu pour être simple, lisible et offrant une syntaxe minimaliste ?;Python;JavaScript;Java;PHP
Quel est le nom du premier langage de programmation de haut niveau ?;Fortran;COBOL;Python;LISP
Quelle société a développé le langage de programmation C++ ?;Bjarne Stroustrup;Microsoft;Apple;Google
